//ID	µØÍ¼±àºÅ	»»ËãºóX×ø±ê	»»ËãºóY×ø±ê	»»ËãºóZ×ø±ê
1005	world	984.5	255.32	2608.99
1005	world	668.18	221.92	2606.03
1005	world	1008.88	220.73	3242.31
1005	world	1300.37	273.17	2807.38
1007	world	-1398.68	225.09	433.04
1007	world	-1728.26	225.55	430.98
1008	world	-57.58	227.21	-1645.81
1009	world	768.37	247.82	3367.36
1009	world	655.64	227.3	3039.28
1009	world	310.36	222.95	3060.25
1010	world	-1044.49	220.74	1237.01
1010	world	-1623.67	316.62	1182.63
1010	world	-1739.21	316.71	854.67
1011	world	-1003.43	222.23	-1475.6
1011	world	-181.16	227.23	-1030.13
1011	world	-489.57	219.51	-1075.95
1011	world	-644.36	219.27	-1525.42
1012	world	-2630.87	299.22	90.06
1016	world	768.37	247.82	3367.36
1016	world	655.64	227.3	3039.28
1016	world	310.36	222.95	3060.25
1018	world	-1044.49	220.74	1237.01
1018	world	-1623.67	316.62	1182.63
1018	world	-1763.18	316.61	881.95
1018	world	-1454.98	315.73	684.14
1019	world	-1003.43	222.23	-1475.6
1019	world	-181.16	227.23	-1030.13
1019	world	-489.57	219.51	-1075.95
1019	world	-644.36	219.27	-1525.42
1023	world	465.47	229.29	2755.44
1023	world	106.36	224.85	2658.64
1023	world	812.68	230.59	3195.69
1024	world	-1072.23	219.41	968.77
1024	world	-1573.47	218.86	518.17
1024	world	-1718.34	259.8	1161.05
1024	world	-1821.48	235.17	825
1025	world	-23.81	218.95	-605.8
1025	world	-26.13	223.73	-926.71
1025	world	-416.18	220.82	-1410.46
1026	world	533.85	219.75	-561.87
1027	world	465.47	229.29	2755.44
1027	world	106.36	224.85	2658.64
1027	world	812.68	230.59	3195.69
1028	world	-1072.23	219.41	968.77
1028	world	-1573.47	218.86	518.17
1028	world	-1718.34	259.8	1161.05
1028	world	-1821.48	235.17	825
1029	world	-23.81	218.95	-605.8
1029	world	-26.13	223.73	-926.71
1029	world	-416.18	220.82	-1410.46
1030	world	770.09	222.35	2741.9
1030	world	408.19	223.59	2589.12
1030	world	931.8	225.8	3351.19
1030	world	1099.2	226.91	2956.29
1030	world	606.64	219.86	2263.53
1030	world	980.58	290.51	2338.24
1032	world	-1691.22	264.73	636.06
1032	world	-1264.84	219.11	623.79
1033	world	-69.68	226.14	-1235.38
1034	world	-2078.13	529.98	936.25
1034	world	-2465.21	523.32	984.27
1034	world	-3026	523.98	854.61
1034	world	-2739.4	481.74	1295.76
1035	world	770.09	222.35	2741.9
1035	world	408.19	223.59	2589.12
1035	world	931.8	225.8	3351.19
1035	world	1099.2	226.91	2956.29
1035	world	606.64	219.86	2263.53
1035	world	980.58	290.51	2338.24
1036	world	-1691.22	264.73	636.06
1036	world	-1264.84	219.11	623.79
1037	world	-69.68	226.14	-1235.38
1040	world	311.95	213.74	3150.78
1040	world	824.97	208.41	3505.65
1040	world	21.73	209.59	3507.91
1040	world	21.07	209.97	2622.32
1043	world	-1072.27	211.34	761.57
1044	world	-119.87	212.4	-537.25
1044	world	-527.29	210.62	-727.8
1044	world	-859.97	211.03	-1011.93
1044	world	-479.73	211.37	-1421.17
1046	world	158.07	248.48	3094.3
1046	world	310.49	222.8	2779.2
1047	world	-1594.46	254.22	630.22
1047	world	-1629.74	278.18	1325.82
1047	world	-1280.42	241.56	1266.3
1048	world	-509.48	220.3	-1155.18
1048	world	-386.69	224.66	-790.09
1048	world	-85.07	259.8	-904.48
1049	world	-1398.68	225.09	433.04
1049	world	-1728.26	225.55	430.98
1050	world	-57.58	227.21	-1645.81
1054	world	-1797.73	221.37	465.7
1054	world	-1999.04	256.69	163.81
1055	world	-289.63	230.14	-2201.09
1055	world	-235.33	225.76	-1879.37
1056	world	1600.66	253.34	3107.77
1056	world	784.98	219.05	2487.19
1057	world	-1797.73	221.37	465.7
1058	world	-289.63	230.14	-2201.09
1058	world	-235.33	225.76	-1879.37
1059	world	-1797.73	221.37	465.7
1059	world	-1998.7	265.15	122.27
1059	world	-1600.19	220.5	139.11
1060	world	-253.46	224.32	-1898.11
1060	world	-289.63	230.14	-2201.09
1061	world	1600.66	253.34	3107.77
1061	world	784.98	219.05	2487.19
1062	world	-1694.59	219.72	196.47
1063	world	-257.86	222.73	-2323.36
1064	world	1850.79	241.57	3157.78
1064	world	1550.56	278.2	2958.01
1065	world	-1694.59	219.72	196.47
1065	world	-1956.55	224.04	-134.14
1066	world	-257.86	222.73	-2323.36
1067	world	35.23	209.95	3681.82
1067	world	889.14	210.57	3601.9
1067	world	1975.66	196.84	4001.34
1068	world	-1981.27	209.84	-413.22
1068	world	-1627.49	206.72	-96.38
1068	world	-1485.85	207.97	232.57
1069	world	-1220.29	209.25	-1796.3
1073	world	709.49	218.92	554.49
1077	world	-2078.13	529.98	936.25
1077	world	-2465.21	523.32	984.27
1077	world	-3026	523.98	854.61
1077	world	-2739.4	481.74	1295.76
1083	world	-1442.38	313.83	-868.63
1087	world	709.49	218.92	554.49
1094	world	981.22	273.68	-0.66
1094	world	785.07	227.88	-406.9
1094	world	448.14	220	-478.8
1094	world	419.43	233.45	-127.09
1094	world	91.67	220.51	-70.63
1094	world	114.5	238.11	-524.92
1095	world	671.57	229.59	-825.61
1099	world	-2719.58	522.56	-172.27
1101	world	-2149.48	444.01	1229.63
1101	world	-1821.42	521.74	1325.33
1105	world	-2149.48	444.01	1229.63
1105	world	-1821.42	521.74	1325.33
1106	world	981.22	273.68	-0.66
1106	world	785.07	227.88	-406.9
1106	world	448.14	220	-478.8
1106	world	419.43	233.45	-127.09
1106	world	83.13	219.65	-129.36
1106	world	182.51	219.07	204.07
1106	world	114.5	238.11	-524.92
1107	world	775.35	221.48	-275.08
1107	world	99.86	219.87	0.9
1110	world	-2926.91	517.83	1285.55
1112	world	390.29	235.74	-2.56
1112	a01	-86.32	465.41	243.24
1114	world	529.39	225.45	-384.7
1114	world	407.98	232.1	-70.83
1114	world	83.13	219.65	-129.36
1114	world	114.5	238.11	-524.92
1116	world	-1415.27	313.83	-771.34
1116	world	-1652.73	313.83	-1310.44
1120	world	915.08	218.8	335.33
1120	world	1008.33	295.94	-127.07
1120	world	1228.66	244.62	347.92
1121	world	915.08	218.8	335.33
1121	world	1004.81	272.55	-219.03
1121	world	1228.66	244.62	347.92
1121	world	1412.38	230.21	-35.78
1122	world	1063.49	223.19	554.4
1122	world	696.22	219.78	454.6
1122	world	1008.33	295.94	-127.07
1122	world	1338.13	242.9	189.07
1122	world	1431.7	220.45	-142.28
1125	world	915.08	218.8	335.33
1125	world	1004.81	272.55	-219.03
1125	world	1228.66	244.62	347.92
1131	a01	-86.11	479.63	198.02
1132	world	-1652.73	313.83	-1310.44
1138	world	-2488.15	567.32	889.85
1138	world	-2119.39	525.14	760.51
1140	world	-2488.15	567.32	889.85
1140	world	-2119.39	525.14	760.51
1142	world	1063.49	223.19	554.4
1142	world	1338.13	242.9	189.07
1142	world	1431.7	220.45	-142.28
1142	world	1048.85	238.92	-385.82
1146	world	-2426.88	522.41	-40.57
1148	world	508.74	218.94	-828.26
1148	world	69.46	238.49	-935.47
1148	world	175.71	222.3	-626.72
1149	world	1395.55	209.25	457.95
1149	world	1595.91	211.2	59.27
1149	world	1491.49	213.21	-351.34
1149	world	1188.01	209.63	-469.76
1149	world	-447.38	206.99	-1639.08
1151	world	-2926.91	517.83	1285.55
1151	world	387.92	219.02	-975.16
1151	world	271.57	220.31	-632.48
1151	world	69.46	238.49	-935.47
1153	world	1063.49	223.19	554.4
1153	world	1338.13	242.9	189.07
1153	world	1431.7	220.45	-142.28
1153	world	1103.36	222.47	-280.49
1157	world	508.74	218.94	-828.26
1157	world	69.46	238.49	-935.47
1157	world	175.71	222.3	-626.72
1164	world	1900.79	239.49	3157.9
1164	world	1300.49	230.27	3007.71
1165	world	-1796.89	219.71	-100.25
1166	world	-601.34	278.66	-2310.41
1166	world	-231.06	219.18	-2522.37
1168	world	-1415.27	313.83	-771.34
1168	world	-1652.73	313.83	-1310.44
1169	world	-1884.31	229.42	-198.19
1170	world	1900.79	239.49	3157.9
1170	world	1500.58	240.89	3207.92
1172	world	-1884.31	229.42	-198.19
1173	world	1280.5	338.09	33.3
1174	world	-601.34	278.66	-2310.41
1174	world	-244.04	221.6	-2469.35
1177	world	-1439.87	209.43	-1728.82
1178	world	2715.38	239.07	4059.69
1178	world	-2426.88	522.41	-40.57
1179	world	580.63	217.29	-812.53
1179	world	187.46	221.1	-730
1180	world	580.63	217.29	-812.53
1180	world	187.46	221.1	-730
1181	world	-881.72	241.84	-1974.79
1181	world	-551.64	219.07	-2008.62
1182	world	1690.79	219.94	4340.3
1183	world	-881.72	241.84	-1974.79
1183	world	-551.64	219.07	-2008.62
1184	world	1528.55	254.64	3762.38
1184	world	1219.79	264.28	3674.79
1184	world	1202.42	229.3	3351.29
1184	world	1750.49	264.1	2957.9
1185	world	386.38	241.54	-65.2
1185	a01	-46.64	445.87	351.57
1187	world	-2228.53	225.8	-408.23
1187	world	-1368.36	228.14	-92.79
1188	world	-2228.53	225.8	-408.23
1188	world	-1368.36	228.14	-92.79
1190	world	1528.55	254.64	3762.38
1190	world	1219.79	264.28	3674.79
1190	world	1750.49	264.1	2957.9
1190	world	1245.51	219.36	3305.38
1192	world	-2295.7	223.02	-338.88
1192	world	-1368.36	228.14	-92.79
1194	world	-1428.33	206.6	-1880.44
1196	world	358.97	240.12	-1472.51
1197	world	1528.55	254.64	3762.38
1197	world	1219.79	264.28	3674.79
1197	world	2088.73	256.76	3773.05
1197	world	1450.43	261.99	2957.63
1197	world	1245.51	219.36	3305.38
1197	world	1610.51	229.11	3432.63
1199	world	-1273.43	524.12	126.89
1199	world	-972.65	527.77	342.64
1200	world	-1211.94	231.15	-177.22
1201	world	-1162.57	220.92	-1700
1201	world	-1089.78	225.26	-2122.46
1202	world	1384.94	251.64	3853.29
1202	world	1778.85	258.1	3779.15
1202	world	2088.73	256.76	3773.05
1202	world	1450.43	261.99	2957.63
1202	world	1429.28	226.79	3492.64
1202	world	1106.74	230.67	3538.54
1203	world	-1211.94	231.15	-177.22
1204	world	-1211.94	231.15	-177.22
1206	world	-1351.94	208.59	-1897.75
1209	world	-1324.24	210.37	-1716.91
1210	world	1426.9	265.43	3744.7
1210	world	1778.85	258.1	3779.15
1210	world	1431.7	251.09	4338.05
1210	world	2170.25	251.89	3706.28
1211	world	883.69	371.52	-1284.67
1211	world	498.41	221.24	-1051.61
1211	world	123.11	258.76	-1351.36
1212	world	-620.15	259.73	-102.87
1212	world	-940.36	242.57	-109.97
1213	world	-620.15	259.73	-102.87
1213	world	-940.36	242.57	-109.97
1214	world	-1124.7	362.75	-2303.38
1214	world	-1546.61	340.87	-2376.29
1214	world	-1158.64	224.21	-1874.45
1215	world	-620.15	259.73	-102.87
1215	world	-940.36	242.57	-109.97
1217	world	-1124.7	362.75	-2303.38
1217	world	-1546.61	340.87	-2376.29
1217	world	-1158.64	224.21	-1874.45
1218	world	1426.9	265.43	3744.7
1218	world	1778.85	258.1	3779.15
1218	world	1431.7	251.09	4338.05
1218	world	2170.25	251.89	3706.28
1219	world	-1581.85	376.52	-2345.92
1219	world	-1124.7	362.75	-2303.38
1219	world	-1158.64	224.21	-1874.45
1220	world	2313.19	219.04	2935.33
1220	world	2382.03	220.87	3275.7
1223	world	1778.85	258.1	3779.15
1223	world	1396.6	241.18	3948.77
1223	world	1431.7	251.09	4338.05
1224	world	1395.55	209.25	457.95
1224	world	1595.91	211.2	59.27
1224	world	1491.49	213.21	-351.34
1224	world	1188.01	209.63	-469.76
1224	world	-447.38	206.99	-1639.08
1225	world	-204.98	252.86	-312.17
1225	world	-590.84	227.07	-422.86
1226	world	-204.98	252.86	-312.17
1226	world	-590.84	227.07	-422.86
1227	world	1778.85	258.1	3779.15
1227	world	1396.6	241.18	3948.77
1227	world	1431.7	251.09	4338.05
1228	world	1395.55	209.25	457.95
1228	world	1595.91	211.2	59.27
1228	world	1491.49	213.21	-351.34
1228	world	1188.01	209.63	-469.76
1229	world	-1747.51	467.53	-2345.44
1232	world	-926.13	284.06	-478.02
1232	world	-204.98	252.86	-312.17
1232	world	-590.84	227.07	-422.86
1232	world	-404.18	274.71	-6.26
1234	world	-2022.61	523.69	-2323.75
1234	world	-1672.52	414.79	-2303.92
1235	world	1395.55	209.25	457.95
1235	world	1595.91	211.2	59.27
1235	world	1491.49	213.21	-351.34
1235	world	1188.01	209.63	-469.76
1236	world	-1922.83	519	-2501.39
1238	world	2951.16	186.89	2009.16
1238	world	2988.86	180.58	1670.16
1238	world	2654.64	183.01	1594.92
1239	world	-538.89	207.52	-1739.7
1241	world	2942.83	197.14	2204.06
1241	world	3019.06	205.87	2534.36
1241	world	2591.94	201.27	2490.18
1242	world	883.69	371.52	-1284.67
1242	world	498.41	221.24	-1051.61
1242	world	123.11	258.76	-1351.36
1243	world	-538.89	207.52	-1739.7
1244	world	1302.09	249.53	3955.34
1244	world	1327.89	223.88	4348.37
1245	world	-467.1	207.64	-1717.32
1246	world	-1772.96	530.4	-1901.01
1246	world	-1205.04	220.01	-1935.77
1247	world	-467.1	207.64	-1717.32
1248	world	-404.18	274.71	-6.26
1250	world	-467.1	207.64	-1717.32
1251	world	-1886.63	525.08	-2171.6
1252	world	1302.09	249.53	3955.34
1252	world	1327.89	223.88	4348.37
1253	world	-404.18	274.71	-6.26
1254	world	-1886.63	525.08	-2171.6
1255	world	-404.18	274.71	-6.26
1256	world	2474.57	219.23	1720.09
1256	world	2132.86	221.98	1900.5
1259	a01	96.38	446.01	402.29
1260	a01	45.01	445.98	406.43
1261	world	398.81	226.53	24.16
1261	a01	86.77	443.66	266.97
1261	a01	-279.81	446.57	398.04
1266	world	458.02	705.25	4195.17
1267	world	458.02	705.25	4195.17
1269	world	1879.17	229.25	396.52
1269	world	1843.51	236.84	40.37
1270	world	-558.36	219.11	2804.58
1276	world	-1873.03	529.13	-1719.08
1278	world	-367.96	287.19	256.92
1282	world	-1873.03	529.13	-1719.08
1284	world	1327.89	223.88	4348.37
1285	world	-2426.88	522.41	-40.57
1287	world	-1619.58	313.83	-1380.24
1288	world	2715.38	239.07	4059.69
1294	world	1708.36	219.71	4400.19
1295	world	-2926.91	517.83	1285.55
1295	world	129.72	238.88	-219.74
1295	a01	-30.26	445.8	202.34
1296	world	2474.57	219.23	1720.09
1296	world	2132.86	221.98	1900.5
1297	world	358.97	240.12	-1472.51
1300	world	-1076.82	522.92	183.76
1302	world	-1761.07	529.67	-1843.26
1303	world	-2906.82	522.47	72.5
1303	world	-3023.61	525.65	398.22
1304	world	-367.96	287.19	256.92
1306	world	-558.36	219.11	2804.58
1307	world	874.51	266.38	3997.39
1307	world	998.84	219.03	4370.42
1307	world	1327.89	223.88	4348.37
1309	world	-367.96	287.19	256.92
1310	world	-118.51	288.26	777.45
1310	world	-433.99	290.48	590.14
1311	world	-1704.62	523.08	-1491.31
1311	world	-1477.29	528.77	-1177.96
1313	world	998.84	219.03	4370.42
1315	world	874.51	266.38	3997.39
1315	world	1095.41	238.91	4541.25
1316	world	358.97	240.12	-1472.51
1317	world	-350.03	247.41	2798.81
1317	world	-847.96	219.15	2641.51
1317	world	-379.45	300.9	2380.42
1317	world	-2215.26	290.21	103.87
1319	world	-2215.26	290.21	103.87
1321	world	-831.84	223.71	3385.48
1321	world	-118.05	222.15	3469.42
1321	world	-2364.81	289.54	56.17
1323	world	358.97	240.12	-1472.51
1329	world	-549.69	231.92	1721.21
1329	world	-967.45	219.77	2010.19
1329	world	-890.76	222.3	1613.08
1329	world	-909.06	217.43	2386.3
1330	world	-288.13	285.3	636.56
1331	world	-288.13	285.3	636.56
1332	world	-1704.62	523.08	-1491.31
1332	world	-1477.29	528.77	-1177.96
1333	world	-1704.62	523.08	-1491.31
1333	world	-1477.29	528.77	-1177.96
1334	world	-3037.73	522.88	-472.05
1334	world	-2643.91	525.22	-43.52
1335	world	-90.23	265.73	851.52
1335	world	594.01	224.94	848.01
1335	world	273.98	232.13	833.28
1336	world	2028.73	219.98	772.56
1336	world	1612.5	221.73	537.48
1336	world	1915.69	223.17	470.6
1336	world	1698.87	221	168.18
1336	world	1665.6	219.64	-294.76
1339	world	-1864.18	523.95	-1095.02
1339	world	-1945.65	531.69	-793.63
1341	world	2028.73	219.98	772.56
1341	world	1915.69	223.17	470.6
1341	world	1829.71	230.17	-279.23
1342	world	1879.17	229.25	396.52
1342	world	1843.51	236.84	40.37
1342	world	1829.71	230.17	-279.23
1342	world	-1520.06	314.04	-666.1
1342	world	-1619.58	313.83	-1380.24
1343	world	-90.23	265.73	851.52
1343	world	594.01	224.94	848.01
1343	world	273.98	232.13	833.28
1346	world	-1864.18	523.95	-1095.02
1346	world	-1945.65	531.69	-793.63
1347	world	-90.23	265.73	851.52
1347	world	594.01	224.94	848.01
1347	world	273.98	232.13	833.28
1349	world	-1864.18	523.95	-1095.02
1349	world	-1945.65	531.69	-793.63
1351	world	2969.81	218.9	3617.15
1351	world	2214	220.48	4153.75
1351	world	3024.27	219.11	3974.24
1351	a20	-434.13	219	326.72
1352	world	157.27	280.81	-1795.12
1352	world	550.27	234.23	-1816.5
1352	world	922.92	262.54	-1791.65
1355	world	2033.78	221.58	3171.22
1355	world	2026.31	222.08	2861.37
1356	world	436.5	315.03	3822.07
1356	world	898.68	293.12	3837.23
1356	world	948.88	219.28	4470.38
1358	world	-1330.79	522.45	-485.3
1358	world	-1636.82	522.79	-495.38
1359	world	-967.45	219.77	2010.19
1359	world	-909.06	217.43	2386.3
1360	world	157.27	280.81	-1795.12
1360	world	550.27	234.23	-1816.5
1360	world	922.92	262.54	-1791.65
1361	world	2028.73	219.98	772.56
1361	world	1612.5	221.73	537.48
1361	world	1915.69	223.17	470.6
1361	world	1698.87	221	168.18
1361	world	1665.6	219.64	-294.76
1361	world	-1520.06	314.04	-666.1
1361	world	-1619.58	313.83	-1380.24
1362	world	-1330.79	522.45	-485.3
1362	world	-1636.82	522.79	-495.38
1364	world	157.27	280.81	-1795.12
1364	world	550.27	234.23	-1816.5
1364	world	922.92	262.54	-1791.65
1366	world	-1488.56	313.83	-637.09
1367	world	-1482.69	313.83	-610.04
1368	world	-334.35	221.22	1282.99
1368	world	89.45	219.57	1418.02
1370	world	-1330.79	522.45	-485.3
1370	world	-1636.82	522.79	-495.38
1371	world	436.5	315.03	3822.07
1371	world	682.9	242.34	4582.58
1371	world	898.68	293.12	3837.23
1371	world	998.93	219.11	4470.39
1372	world	682.9	242.34	4582.58
1372	world	737.26	266.16	4024.56
1373	world	-558.36	219.11	2804.58
1374	world	246.56	298.1	3949.11
1374	world	590.27	302.07	3759.79
1374	world	361.85	285.21	4523.4
1374	world	682.9	242.34	4582.58
1375	world	228.85	299.65	3970.34
1375	world	348.5	302	4563.7
1375	world	139.97	244.52	3659.1
1375	world	590.27	302.07	3759.79
1375	world	682.9	242.34	4582.58
1377	world	-1218.9	527.78	-909.87
1377	world	-1206.23	534.43	-576.11
1377	world	-1241.95	280.92	-1228.89
1379	world	-1218.9	527.78	-909.87
1379	world	-1206.23	534.43	-576.11
1379	world	-1241.95	280.92	-1228.89
1381	world	-116.12	225.65	1346.42
1382	world	-37.08	229.31	1111.31
1383	world	-37.08	229.31	1111.31
1384	world	-1217.88	313.83	-801.86
1385	world	-1218.9	527.78	-909.87
1385	world	-1206.23	534.43	-576.11
1385	world	-1241.95	280.92	-1228.89
1387	world	1879.17	229.25	396.52
1387	world	1843.51	236.84	40.37
1388	world	-1038.42	218.82	-1174.45
1388	world	-938.43	274.21	-808.63
1388	world	-604.67	221.57	-598.98
1392	world	-77	230.84	3971.65
1392	world	-49.32	238.23	4378.04
1392	world	275.19	270.53	4532.77
1394	world	-607.02	413.17	867.48
1394	world	-293.02	304.49	863.88
1395	world	-607.02	413.17	867.48
1395	world	-293.02	304.49	863.88
1397	world	-1038.42	218.82	-1174.45
1397	world	-938.43	274.21	-808.63
1397	world	-604.67	221.57	-598.98
1399	world	-1038.42	218.82	-1174.45
1399	world	-938.43	274.21	-808.63
1399	world	-604.67	221.57	-598.98
1400	world	-77	230.84	3971.65
1400	world	-49.32	238.23	4378.04
1400	world	275.19	270.53	4532.77
1401	world	1612.5	221.73	537.48
1401	world	1698.87	221	168.18
1401	world	1665.6	219.64	-294.76
1403	world	1829.71	230.17	-279.23
1405	world	-947.17	221.54	2761.91
1405	world	-831.84	223.71	3385.48
1412	world	-2630.87	299.22	90.06
1416	world	2743.22	290	2261.52
1416	world	2260.32	360.5	1766.25
1416	world	2807.28	354.24	1813.71
1417	world	2743.22	290	2261.52
1417	world	2260.32	360.5	1766.25
1417	world	2807.28	354.24	1813.71
1419	world	2743.22	290	2261.52
1419	world	2260.32	360.5	1766.25
1419	world	2807.28	354.24	1813.71
1422	a02	66.48	218.8	-88.3
1424	world	1584.21	236.05	1630.08
1424	world	740.01	236.97	1193.42
1424	world	1238.54	225.89	1442.5
1424	world	1934.96	220.13	1163.45
1424	world	1931.05	223.27	1501.97
1424	world	1088.73	219.71	780.93
1424	world	1049.8	223.29	1086.26
1424	world	1494.05	220.81	645.31
1425	world	1793.95	323.37	20.46
1431	world	731.95	228.42	1065.94
1432	world	2339.66	308.95	2969.95
1436	world	135.58	212.88	1572.11
1436	world	449.67	212.56	1791.59
1436	world	509.5	212.95	2186.53
1436	world	98.9	212.85	2500.23
1436	world	132.35	209.27	578.64
1436	world	467.81	208.84	551.75
1436	world	902.1	208.9	709.47
1436	world	605.29	212.32	1067.76
1436	world	281.37	210	1191.87
1436	world	2027.1	212.42	1415.66
1436	world	2002.05	210.51	1008.88
1436	world	656.61	209.33	138.9
1436	world	985.57	207.72	210.22
1440	a02	51.53	218.82	-183.42
1443	a02	102.86	218.8	-180.68
1444	world	2474.57	219.23	1720.09
1444	world	2132.86	221.98	1900.5
1445	a02	62.78	220.11	58.4
1445	a02	339.35	218.77	-279.56
1447	world	2313.19	219.04	2935.33
1447	world	2276.45	219.35	3346.76
1447	world	2674.97	218.94	3240.88
1447	world	2311.67	218.69	2464.72
1461	world	731.95	228.42	1065.94
1461	world	1453.79	219.76	645.03
1461	world	1088.91	219.77	901.07
1461	world	1089.8	220	1206.34
1461	world	1755.9	222.03	646.73
1463	world	678.27	249.14	1304.72
1465	world	697.31	225.44	1090.52
1471	world	-447.38	206.99	-1639.08
1472	world	697.31	225.44	1090.52
1472	world	1453.79	219.76	645.03
1472	world	1088.91	219.77	901.07
1472	world	1089.8	220	1206.34
1472	world	1755.9	222.03	646.73
1477	world	955.48	219.51	4520.33
1477	world	110.8	250.92	4171.64
1477	world	211.85	247.44	4504.58
1477	world	986.96	303.53	3794.75
1479	world	941.32	205.71	3519.71
1479	world	2951.16	186.89	2009.16
1479	world	2988.86	180.58	1670.16
1479	world	2654.64	183.01	1594.92
1482	a02	57.88	218.8	-51.36
1484	world	-2209.52	523.69	538.09
1484	world	-2601.09	529.18	599.71
1484	world	-2326.46	536.49	208.73
1484	world	-2732.53	529.78	238.91
1484	world	533.85	219.75	-561.87
1486	world	661.25	286.6	1404.19
1487	world	-2209.52	523.69	538.09
1487	world	-2601.09	529.18	599.71
1487	world	-2326.46	536.49	208.73
1487	world	-2732.53	529.78	238.91
1488	world	-538.89	207.52	-1739.7
1493	world	2313.19	219.04	2935.33
1493	world	2382.03	220.87	3275.7
1494	world	661.25	286.6	1404.19
1505	world	-549.69	231.92	1721.21
1505	world	-890.76	222.3	1613.08
1505	world	158.37	224.88	2132.49
1507	world	-120.19	219.05	3177.89
1507	world	-464.86	220.07	3190.71
1507	world	-947.17	221.54	2761.91
1507	world	-967.63	223.2	3300.54
1507	world	-967.45	219.77	2010.19
1507	world	-909.06	217.43	2386.3
1508	world	-488.36	219.14	3496.93
1508	world	-120.19	219.05	3177.89
1508	world	-464.86	220.07	3190.71
1508	world	-960	218.31	2857
1508	world	-967.63	223.2	3300.54
1509	world	-396.51	236.78	3430.8
1515	world	2644.67	218.44	3484.95
1517	world	2033.78	221.58	3171.22
1517	world	2026.31	222.08	2861.37
1518	world	2033.78	221.58	3171.22
1518	world	2026.31	222.08	2861.37
1519	world	-549.69	231.92	1721.21
1519	world	-117.2	220.18	1817.54
1519	world	-890.76	222.3	1613.08
1519	world	-59.23	229.05	2288.71
1519	world	-432.04	232.3	2233.75
1519	world	228.43	220.92	1802.37
1522	world	-117.2	220.18	1817.54
1522	world	-59.23	229.05	2288.71
1522	world	-432.04	232.3	2233.75
1522	world	228.43	220.92	1802.37
1523	world	-2215.26	290.21	103.87
1525	world	-2364.81	289.54	56.17
1526	world	-2209.52	523.69	538.09
1526	world	-2601.09	529.18	599.71
1526	world	-2326.46	536.49	208.73
1526	world	-2732.53	529.78	238.91
1527	world	2354.81	219.73	2662.24
1528	world	2313.19	219.04	2935.33
1528	world	2382.03	220.87	3275.7
1532	world	-117.2	220.18	1817.54
1532	world	-59.23	229.05	2288.71
1532	world	-432.04	232.3	2233.75
1532	world	228.43	220.92	1802.37
1532	world	296.46	228.01	2117.7
1533	world	-2906.82	522.47	72.5
1533	world	-3023.61	525.65	398.22
1535	world	-2906.82	522.47	72.5
1535	world	-3037.73	522.88	-472.05
1535	world	-3023.61	525.65	398.22
1535	world	-2565.37	524.17	-72.77
1536	world	561.12	269.64	1442.91
1541	world	-350.03	247.41	2798.81
1541	world	-847.96	219.15	2641.51
1541	world	-379.45	300.9	2380.42
1544	world	-488.36	219.14	3496.93
1544	world	-120.19	219.05	3177.89
1544	world	-464.86	220.07	3190.71
1544	world	-947.17	221.54	2761.91
1544	world	-967.63	223.2	3300.54
